s, r2, r3, Result
2.1, 4.025, 4.305, 452.58206008525195
2.1, 4.025, 4.3549999999999995, 455.15975222382474
2.1, 4.025, 4.404999999999999, 457.73450436459126
2.1, 4.025, 4.455, 460.3063266186041
2.1, 4.025, 4.505, 462.87522144759976
2.1, 4.025, 4.555, 465.4411912012515
2.1, 4.025, 4.6049999999999995, 468.0042461529228
2.1, 4.025, 4.654999999999999, 470.56438863181296
2.1, 4.045, 4.305, 453.6201103562456
2.1, 4.045, 4.3549999999999995, 456.1977999482778
2.1, 4.045, 4.404999999999999, 458.7725546340422
2.1, 4.045, 4.455, 461.34437688805787
2.1, 4.045, 4.505, 463.9132717170536
2.1, 4.045, 4.555, 466.47924146909844
2.1, 4.045, 4.6049999999999995, 469.0422964207505
2.1, 4.045, 4.654999999999999, 471.6024388996596
2.1, 4.065, 4.305, 454.65768561618574
2.1, 4.065, 4.3549999999999995, 457.2353752066889
2.1, 4.065, 4.404999999999999, 459.810129892472
2.1, 4.065, 4.455, 462.3819521464679
2.1, 4.065, 4.505, 464.9508443288442
2.1, 4.065, 4.555, 467.5168167259511
2.1, 4.065, 4.6049999999999995, 470.0798716775842
2.1, 4.065, 4.654999999999999, 472.6400141565116
2.1, 4.085, 4.305, 455.694786191039
2.1, 4.085, 4.3549999999999995, 458.27247578006006
2.1, 4.085, 4.404999999999999, 460.84723046584486
2.1, 4.085, 4.455, 463.4190527198184
2.1, 4.085, 4.505, 465.9879449006675
2.1, 4.085, 4.555, 468.5539172977767
2.1, 4.085, 4.6049999999999995, 471.11697224940866
2.1, 4.085, 4.654999999999999, 473.67711472833855
2.1, 4.105, 4.305, 456.7314098583129
2.1, 4.105, 4.3549999999999995, 459.30910199404093
2.1, 4.105, 4.404999999999999, 461.8838566798255
2.1, 4.105, 4.455, 464.4556789338001
2.1, 4.105, 4.505, 467.0245711131358
2.1, 4.105, 4.555, 469.59054351022274
2.1, 4.105, 4.6049999999999995, 472.1535984618763
2.1, 4.105, 4.654999999999999, 474.71373818993595
2.1, 4.125, 4.305, 457.76756203825704
2.1, 4.125, 4.3549999999999995, 460.3452541740063
2.1, 4.125, 4.404999999999999, 462.9200088597703
2.1, 4.125, 4.455, 465.491828465047
2.1, 4.125, 4.505, 468.0607232916122
2.1, 4.125, 4.555, 470.626695688681
2.1, 4.125, 4.6049999999999995, 473.1897506403544
2.1, 4.125, 4.654999999999999, 475.74989036684354
2.1, 4.1450000000000005, 4.305, 458.8032405092765
2.1, 4.1450000000000005, 4.3549999999999995, 461.3809326450261
2.1, 4.1450000000000005, 4.404999999999999, 463.95568733078835
2.1, 4.1450000000000005, 4.455, 466.52750693461
2.1, 4.1450000000000005, 4.505, 469.0964017611549
2.1, 4.1450000000000005, 4.555, 471.6623741582434
2.1, 4.1450000000000005, 4.6049999999999995, 474.2254263580528
2.1, 4.1450000000000005, 4.654999999999999, 476.7855688348848
2.1, 4.165, 4.305, 459.83844559613055
2.1, 4.165, 4.3549999999999995, 462.41613773185816
2.1, 4.165, 4.404999999999999, 464.99088976863726
2.1, 4.165, 4.455, 467.56271202003495
2.1, 4.165, 4.505, 470.1316068465795
2.1, 4.165, 4.555, 472.69757924366826
2.1, 4.165, 4.6049999999999995, 475.26063144196837
2.1, 4.165, 4.654999999999999, 477.820773918801
2.1, 4.1850000000000005, 4.305, 460.87317762329593
2.1, 4.1850000000000005, 4.3549999999999995, 463.4508697590245
2.1, 4.1850000000000005, 4.404999999999999, 466.0256217944029
2.1, 4.1850000000000005, 4.455, 468.597444045801
2.1, 4.1850000000000005, 4.505, 471.166338872326
2.1, 4.1850000000000005, 4.555, 473.7323085168574
2.1, 4.1850000000000005, 4.6049999999999995, 476.29536346627367
2.1, 4.1850000000000005, 4.654999999999999, 478.85550594310706
2.2, 3.805, 4.305, 440.04972232796615
2.2, 3.805, 4.3549999999999995, 442.62108995292556
2.2, 3.805, 4.404999999999999, 445.18952733480063
2.2, 3.805, 4.455, 447.75503704124714
2.2, 3.805, 4.505, 450.3176289409778
2.2, 3.805, 4.555, 452.8773055813242
2.2, 3.805, 4.6049999999999995, 455.43406940248076
2.2, 3.805, 4.654999999999999, 457.9879304261738
2.2, 3.825, 4.305, 441.0904595325051
2.2, 3.825, 4.3549999999999995, 443.6618271574453
2.2, 3.825, 4.404999999999999, 446.23026210167177
2.2, 3.825, 4.455, 448.7957742439535
2.2, 3.825, 4.505, 451.35836614372187
2.2, 3.825, 4.555, 453.9180427840696
2.2, 3.825, 4.6049999999999995, 456.47480660333605
2.2, 3.825, 4.654999999999999, 459.0286676270508
2.2, 3.845, 4.305, 442.1307192948371
2.2, 3.845, 4.3549999999999995, 444.70208691979434
2.2, 3.845, 4.404999999999999, 447.2705218622571
2.2, 3.845, 4.455, 449.83603400453694
2.2, 3.845, 4.505, 452.39862590430636
2.2, 3.845, 4.555, 454.95830254463175
2.2, 3.845, 4.6049999999999995, 457.5150663620807
2.2, 3.845, 4.654999999999999, 460.06892738579563
2.2, 3.865, 4.305, 443.17050194345586
2.2, 3.865, 4.3549999999999995, 445.7418695684141
2.2, 3.865, 4.404999999999999, 448.31030450912226
2.2, 3.865, 4.455, 450.8758166514218
2.2, 3.865, 4.505, 453.4384085511904
2.2, 3.865, 4.555, 455.9980826564846
2.2, 3.865, 4.6049999999999995, 458.5548490071587
2.2, 3.865, 4.654999999999999, 461.1087100308544
2.2, 3.8850000000000002, 4.305, 444.20980780648733
2.2, 3.8850000000000002, 4.3549999999999995, 446.7811729911293
2.2, 3.8850000000000002, 4.404999999999999, 449.3496103704685
2.2, 3.8850000000000002, 4.455, 451.91512251276873
2.2, 3.8850000000000002, 4.505, 454.47771441253803
2.2, 3.8850000000000002, 4.555, 457.03738851603697
2.2, 3.8850000000000002, 4.6049999999999995, 459.59415486672924
2.2, 3.8850000000000002, 4.654999999999999, 462.14801589042344
2.2, 3.9050000000000002, 4.305, 445.2486372118315
2.2, 3.9050000000000002, 4.3549999999999995, 447.8200023947952
2.2, 3.9050000000000002, 4.404999999999999, 450.38843977411653
2.2, 3.9050000000000002, 4.455, 452.9539519164367
2.2, 3.9050000000000002, 4.505, 455.5165412798102
2.2, 3.9050000000000002, 4.555, 458.0762179179575
2.2, 3.9050000000000002, 4.6049999999999995, 460.6329842686518
2.2, 3.9050000000000002, 4.654999999999999, 463.1868452923259
2.2, 3.9250000000000003, 4.305, 446.28698804606154
2.2, 3.9250000000000003, 4.3549999999999995, 448.8583556683265
2.2, 3.9250000000000003, 4.404999999999999, 451.4267930476659
2.2, 3.9250000000000003, 4.455, 453.9923051899853
2.2, 3.9250000000000003, 4.505, 456.55489455162666
2.2, 3.9250000000000003, 4.555, 459.1145711897936
2.2, 3.9250000000000003, 4.6049999999999995, 461.6713375404667
2.2, 3.9250000000000003, 4.654999999999999, 464.22519592929353
2.2, 3.9450000000000003, 4.305, 447.324865516753
2.2, 3.9450000000000003, 4.3549999999999995, 449.8962331389976
2.2, 3.9450000000000003, 4.404999999999999, 452.46467051835674
2.2, 3.9450000000000003, 4.455, 455.0301801232145
2.2, 3.9450000000000003, 4.505, 457.59277202063066
2.2, 3.9450000000000003, 4.555, 460.152448658797
2.2, 3.9450000000000003, 4.6049999999999995, 462.7092150094512
2.2, 3.9450000000000003, 4.654999999999999, 465.2630733965423
2.2, 3.9650000000000003, 4.305, 448.36226751152367
2.2, 3.9650000000000003, 4.3549999999999995, 450.93363513378847
2.2, 3.9650000000000003, 4.404999999999999, 453.502072513147
2.2, 3.9650000000000003, 4.455, 456.06758211633394
2.2, 3.9650000000000003, 4.505, 458.630174013767
2.2, 3.9650000000000003, 4.555, 461.18985065191504
2.2, 3.9650000000000003, 4.6049999999999995, 463.74661700258866
2.2, 3.9650000000000003, 4.654999999999999, 466.3004753879549
2.2, 3.9850000000000003, 4.305, 449.399194357076
2.2, 3.9850000000000003, 4.3549999999999995, 451.9705619793401
2.2, 3.9850000000000003, 4.404999999999999, 454.5389993586983
2.2, 3.9850000000000003, 4.455, 457.1045089602575
2.2, 3.9850000000000003, 4.505, 459.6671008576938
2.2, 3.9850000000000003, 4.555, 462.2267774958409
2.2, 3.9850000000000003, 4.6049999999999995, 464.783541208446
2.2, 3.9850000000000003, 4.654999999999999, 467.33740223018657
2.2, 4.005, 4.305, 450.4356463797273
2.2, 4.005, 4.3549999999999995, 453.007014002011
2.2, 4.005, 4.404999999999999, 455.5754488415278
2.2, 4.005, 4.455, 458.1409609813339
2.2, 4.005, 4.505, 460.7035528787697
2.2, 4.005, 4.555, 463.26322951689815
2.2, 4.005, 4.6049999999999995, 465.8199932278578
2.2, 4.005, 4.654999999999999, 468.37385424958023
2.2, 4.025, 4.305, 451.47162390558293
2.2, 4.025, 4.3549999999999995, 454.04299152786695
2.2, 4.025, 4.404999999999999, 456.61142636579757
2.2, 4.025, 4.455, 459.1769385056248
2.2, 4.025, 4.505, 461.7395304030386
2.2, 4.025, 4.555, 464.2992044019498
2.2, 4.025, 4.6049999999999995, 466.85597075051425
2.2, 4.025, 4.654999999999999, 469.4098317722179
2.2, 4.045, 4.305, 452.5071272603831
2.2, 4.045, 4.3549999999999995, 455.078492342377
2.2, 4.045, 4.404999999999999, 457.64692971906294
2.2, 4.045, 4.455, 460.2124418588893
2.2, 4.045, 4.505, 462.77503375630414
2.2, 4.045, 4.555, 465.33470775361053
2.2, 4.045, 4.6049999999999995, 467.891474102158
2.2, 4.045, 4.654999999999999, 470.4453351238802
2.2, 4.065, 4.305, 453.54215676959836
2.2, 4.065, 4.3549999999999995, 456.11352185006524
2.2, 4.065, 4.404999999999999, 458.68195922677035
2.2, 4.065, 4.455, 461.24747136657703
2.2, 4.065, 4.505, 463.81006062386456
2.2, 4.065, 4.555, 466.369737259747
2.2, 4.065, 4.6049999999999995, 468.9265036082737
2.2, 4.065, 4.654999999999999, 471.48036463001563
2.2, 4.085, 4.305, 454.5767127583932
2.2, 4.085, 4.3549999999999995, 457.14807783738075
2.2, 4.085, 4.404999999999999, 459.7165152140875
2.2, 4.085, 4.455, 462.2820273538743
2.2, 4.085, 4.505, 464.8446166096403
2.2, 4.085, 4.555, 467.40429324552235
2.2, 4.085, 4.6049999999999995, 469.96105959404764
2.2, 4.085, 4.654999999999999, 472.5149206157912
2.2, 4.105, 4.305, 455.61079300972955
2.2, 4.105, 4.3549999999999995, 458.1821606291767
2.2, 4.105, 4.404999999999999, 460.750598005882
2.2, 4.105, 4.455, 463.31611014566954
2.2, 4.105, 4.505, 465.8786993999228
2.2, 4.105, 4.555, 468.43837603578476
2.2, 4.105, 4.6049999999999995, 470.9951423843323
2.2, 4.105, 4.654999999999999, 473.5490006619555
2.2, 4.125, 4.305, 456.64440293055804
2.2, 4.125, 4.3549999999999995, 459.21577055002524
2.2, 4.125, 4.404999999999999, 461.7842079267101
2.2, 4.125, 4.455, 464.3497174243002
2.2, 4.125, 4.505, 466.9123093192882
2.2, 4.125, 4.555, 469.4719859551297
2.2, 4.125, 4.6049999999999995, 472.0287523036971
2.2, 4.125, 4.654999999999999, 474.58261057975363
2.2, 4.1450000000000005, 4.305, 457.67754030473236
2.2, 4.1450000000000005, 4.3549999999999995, 460.2489079241982
2.2, 4.1450000000000005, 4.404999999999999, 462.81734530088465
2.2, 4.1450000000000005, 4.455, 465.3828547970201
2.2, 4.1450000000000005, 4.505, 467.945446691989
2.2, 4.1450000000000005, 4.555, 470.50512332785127
2.2, 4.1450000000000005, 4.6049999999999995, 473.0618869313071
2.2, 4.1450000000000005, 4.654999999999999, 475.6157479509585
2.2, 4.165, 4.305, 458.7102054562176
