2019-03-05 18:50:05,419 [1,1,1,2.2,[626.283784345167, 857.2094315003234]]
2019-03-05 18:50:05,419 [[0,0.0,6.000000000000002]]
2019-03-05 18:50:05,419 [[1,228.02739797883075,460.5158176721223]]
2019-03-05 18:50:05,419 [[2,176.91516490100463,332.942452296021]]
2019-03-05 18:50:05,419 [[3,400.38038416561943,830.0091255955468]]
2019-03-05 18:50:05,419 [[4,194.77563943795843,267.8501071321859]]
2019-03-05 18:50:05,419 [[5,440.5693647355446,764.9129537983897]]
2019-03-05 18:50:05,419 [[6,359.87905214456094,602.2858090248775]]
2019-03-05 18:50:05,419 [[7,571.3554772902155,1111.5952822652127]]
2019-03-05 18:50:20,566 [Configuration:]
2019-03-05 18:50:20,566 [0,0,0,2.0,[0.0, 6.000000000000002]]
2019-03-05 18:50:20,566 [0,0,0,2.1,[0.0, 6.000000000000002]]
2019-03-05 18:50:20,566 [0,0,0,2.2,[0.0, 6.000000000000002]]
2019-03-05 18:50:20,566 [1,0,0,2.0,[264.9508856025128, 420.81772525649853]]
2019-03-05 18:50:20,566 [1,0,0,2.1,[231.0414182087632, 411.34985083707204]]
2019-03-05 18:50:20,566 [1,0,0,2.2,[223.69321306219132, 408.5738455327476]]
2019-03-05 18:50:20,566 [0,1,0,2.0,[203.94556174890346, 292.849158428851]]
2019-03-05 18:50:20,566 [0,1,0,2.1,[198.6433906435593, 261.0249245856609]]
2019-03-05 18:50:20,566 [0,1,0,2.2,[192.11548175224786, 272.76162187862377]]
2019-03-05 18:50:20,566 [1,1,0,2.0,[439.84062660564723, 699.9963682246841]]
2019-03-05 18:50:20,566 [1,1,0,2.1,[462.6735408288611, 697.8751601808606]]
2019-03-05 18:50:20,566 [1,1,0,2.2,[417.75843014613037, 645.9477265376403]]
2019-03-05 18:50:20,566 [0,0,1,2.0,[228.44684355889663, 247.20775566300037]]
2019-03-05 18:50:20,566 [0,0,1,2.1,[220.6956785782423, 229.5207789612946]]
2019-03-05 18:50:20,566 [0,0,1,2.2,[213.02147189783298, 222.24321202654045]]
2019-03-05 18:50:20,566 [1,0,1,2.0,[488.1145526163538, 687.7456120050905]]
2019-03-05 18:50:20,567 [1,0,1,2.1,[477.6376344245878, 629.1698360709878]]
2019-03-05 18:50:20,567 [1,0,1,2.2,[432.5652250120888, 615.0793537867689]]
2019-03-05 18:50:20,567 [0,1,1,2.0,[433.76682098811705, 535.3118217877467]]
2019-03-05 18:50:20,567 [0,1,1,2.1,[424.50423001485075, 509.4530529023703]]
2019-03-05 18:50:20,567 [0,1,1,2.2,[406.5604129695248, 484.77965206623327]]
2019-03-05 18:50:20,567 [1,1,1,2.0,[677.2005625841928, 952.9961525293664]]
2019-03-05 18:50:20,567 [1,1,1,2.1,[647.3612520302577, 909.7537904295108]]
2019-03-05 18:50:20,567 [1,1,1,2.2,[642.8064355313593, 863.742923248636]]
2019-03-05 18:50:20,567 [[0,0.0,6.000000000000002]]
2019-03-05 18:50:20,567 [[1,228.02739797883075,460.5158176721223]]
2019-03-05 18:50:20,567 [[2,176.91516490100463,332.942452296021]]
2019-03-05 18:50:20,567 [[3,400.38038416561943,830.0091255955468]]
2019-03-05 18:50:20,567 [[4,194.77563943795843,267.8501071321859]]
2019-03-05 18:50:20,567 [[5,440.5693647355446,764.9129537983897]]
2019-03-05 18:50:20,567 [[6,359.87905214456094,602.2858090248775]]
2019-03-05 18:50:20,567 [[7,571.3554772902155,1111.5952822652127]]
2019-03-05 18:50:35,715 [Configuration:]
2019-03-05 18:50:35,715 [0,0,0,2.0,[0.0, 6.000000000000002]]
2019-03-05 18:50:35,715 [0,0,0,2.1,[0.0, 6.000000000000002]]
2019-03-05 18:50:35,715 [0,0,0,2.2,[0.0, 6.000000000000002]]
2019-03-05 18:50:35,715 [1,0,0,2.0,[260.6300357362524, 429.6367733522379]]
2019-03-05 18:50:35,715 [1,0,0,2.1,[257.0522167730211, 402.9132354079288]]
2019-03-05 18:50:35,715 [1,0,0,2.2,[236.50209139739326, 402.5612306949666]]
2019-03-05 18:50:35,715 [0,1,0,2.0,[195.34973123863836, 285.00848190952627]]
2019-03-05 18:50:35,715 [0,1,0,2.1,[213.76827411461989, 280.1658242872697]]
2019-03-05 18:50:35,715 [0,1,0,2.2,[198.46763094593896, 264.50410504507505]]
2019-03-05 18:50:35,715 [1,1,0,2.0,[464.5215818327406, 725.4445473028524]]
2019-03-05 18:50:35,715 [1,1,0,2.1,[453.2871206300572, 697.5590081231848]]
2019-03-05 18:50:35,715 [1,1,0,2.2,[422.5924745174565, 646.1713635645591]]
2019-03-05 18:50:35,715 [0,0,1,2.0,[231.8257542096627, 235.61509091362507]]
2019-03-05 18:50:35,716 [0,0,1,2.1,[224.1540314576276, 239.31068141331326]]
2019-03-05 18:50:35,716 [0,0,1,2.2,[206.93847196270733, 215.45806588819642]]
2019-03-05 18:50:35,716 [1,0,1,2.0,[493.73363817324434, 668.3382204101653]]
2019-03-05 18:50:35,716 [1,0,1,2.1,[441.5759286745296, 648.1875847586266]]
2019-03-05 18:50:35,716 [1,0,1,2.2,[439.27508424317085, 620.3665538909853]]
2019-03-05 18:50:35,716 [0,1,1,2.0,[442.8559249614741, 539.5113101999393]]
2019-03-05 18:50:35,716 [0,1,1,2.1,[414.996877464078, 504.83075116973055]]
2019-03-05 18:50:35,716 [0,1,1,2.2,[405.41896149021693, 476.5584252331429]]
2019-03-05 18:50:35,716 [1,1,1,2.0,[704.0992680778489, 941.8612160857222]]
2019-03-05 18:50:35,716 [1,1,1,2.1,[655.3573774258313, 912.8794046551442]]
2019-03-05 18:50:35,716 [1,1,1,2.2,[618.8429966172913, 894.4888800283131]]
2019-03-05 18:50:35,716 [[0,0.0,6.000000000000002]]
2019-03-05 18:50:35,716 [[1,228.02739797883075,460.5158176721223]]
2019-03-05 18:50:35,716 [[2,176.91516490100463,332.942452296021]]
2019-03-05 18:50:35,716 [[3,400.38038416561943,830.0091255955468]]
2019-03-05 18:50:35,716 [[4,194.77563943795843,267.8501071321859]]
2019-03-05 18:50:35,716 [[5,440.5693647355446,764.9129537983897]]
2019-03-05 18:50:35,716 [[6,359.87905214456094,602.2858090248775]]
2019-03-05 18:50:35,716 [[7,571.3554772902155,1111.5952822652127]]
2019-03-05 18:50:50,867 [Configuration:]
2019-03-05 18:50:50,867 [0,0,0,2.0,[0.0, 6.000000000000002]]
2019-03-05 18:50:50,867 [0,0,0,2.1,[0.0, 6.000000000000002]]
2019-03-05 18:50:50,867 [0,0,0,2.2,[0.0, 6.000000000000002]]
2019-03-05 18:50:50,867 [1,0,0,2.0,[251.84900862313648, 451.2484864337338]]
2019-03-05 18:50:50,867 [1,0,0,2.1,[246.30910282249448, 407.7533585120965]]
2019-03-05 18:50:50,867 [1,0,0,2.2,[232.2130401976436, 376.8881797216543]]
2019-03-05 18:50:50,867 [0,1,0,2.0,[212.76032916746044, 309.1724395141918]]
2019-03-05 18:50:50,867 [0,1,0,2.1,[192.27145142069844, 275.96669453039624]]
2019-03-05 18:50:50,867 [0,1,0,2.2,[198.44895917755784, 266.6323477158042]]
2019-03-05 18:50:50,867 [1,1,0,2.0,[457.3957748299594, 716.9297687560652]]
2019-03-05 18:50:50,867 [1,1,0,2.1,[422.44573602873413, 691.0459760541315]]
2019-03-05 18:50:50,867 [1,1,0,2.2,[432.03935317489703, 655.0441154706258]]
2019-03-05 18:50:50,867 [0,0,1,2.0,[229.69780449937693, 262.79840773613654]]
2019-03-05 18:50:50,867 [0,0,1,2.1,[212.01777596042876, 224.71443686758823]]
2019-03-05 18:50:50,867 [0,0,1,2.2,[221.28792425590441, 223.9164753370369]]
2019-03-05 18:50:50,867 [1,0,1,2.0,[502.0436910972282, 671.5852138142718]]
2019-03-05 18:50:50,867 [1,0,1,2.1,[472.1632705699354, 620.2846974545914]]
2019-03-05 18:50:50,867 [1,0,1,2.2,[432.68763821722024, 624.6313573278607]]
2019-03-05 18:50:50,867 [0,1,1,2.0,[435.70169516420736, 521.1487036800485]]
2019-03-05 18:50:50,867 [0,1,1,2.1,[418.731929638408, 505.2678823948026]]
2019-03-05 18:50:50,867 [0,1,1,2.2,[394.5018683065509, 482.3376006363393]]
2019-03-05 18:50:50,867 [1,1,1,2.0,[709.2190559132182, 950.8034687707377]]
